"","bestmodel","bestmodelprob","secondbestmodel","secondbestmodelprob","lnBF","k-means p-value","Ln Bayes Factor"
"a_japonicus","panmixia","0.991626525736878","stepping_stone","0.00837347426312159","-9.54855533333352","0.002","-9.54855533333352"
"c_auriga","panmixia","0.999935256989322","stepping_stone","6.4742993065822e-05","-19.2900406666668","0.002","-19.2900406666668"
"c_lunulatus","stepping_stone","0.999999999815583","panmixia","1.84417359855976e-10","-44.8276393333335","0.002","-44.8276393333335"
"c_striatus","stepping_stone","0.99999999437658","panmixia","5.62337020433726e-09","-37.9926693333337","0.002","-37.9926693333337"
"c_vroliki","stepping_stone","0.920661822039504","panmixia","0.0793381779604913","-4.9027466666671","0.002","-4.9027466666671"
"d_aruanus","stepping_stone","0.741817732528212","panmixia","0.169081058523095","-2.95745066666677","0.122","-2.95745066666677"
"l_kasmira","panmixia","1","stepping_stone","1.66750516139977e-96","-441.073680666667","0.002","-441.073680666667"
"n_plicata","panmixia","0.999650886860876","stepping_stone","0.000349113139123735","-15.919530666667","0.002","-15.919530666667"
"p_coelestis","panmixia","1","stepping_stone","1.86188083330159e-27","-123.096420666667","0.002","-123.096420666667"
