"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",12500000,7216742.04462672,500,23750000,13.5001350014013,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497488165806,1,3,0,Inf,NA
"lnPost",26199.3909437522,11652.5660180339,5447.969403,44396.383141,746.153966191917,1.08400161589204,1.1841195308615
"lnDataL",-1090.78669906984,8.27894833466749,-1106.408392,-1075.072112,13881.3761566589,1.04011764364145,1.08860884104639
"lnPrbGParam",27290.1776428248,11652.8723884281,6467.088789,45413.832623,746.257445935206,1.08405938288802,1.18424781951354
"lnPrior",-78.001790134056,7.13360992504021,-92.679818,-64.276964,425.679852205719,1.0981306022134,1.20500297629942
"treeintervals",2627.56479574036,1028.57198127812,897,4257,745.401785323998,1.10168010350276,1.22237977411148
"treelength",0.0564793137796089,0.0154439732671726,0.027375,0.086995,3324.90409066918,1.04903376459721,1.10579698944803
"Theta_1",0.0127836394217662,0.00930094952145516,6.712e-05,0.03059,9639.29881622121,1.04441091875584,1.07737755523348
"Theta_2",0.010750086635266,0.00848526701405922,3.253e-05,0.02669,19992.139548461,1.02978724781249,1.04230449078665
"Theta_3",0.0103021650444564,0.00986403137278457,2.576e-05,0.03,80157.0383953632,1.00588340139728,1.01124019453251
"Theta_4",0.0110938041975062,0.00948773410469956,6.109e-05,0.02932,14670.680068493,1.04100305283038,1.08500589731467
"M_3_1",196221.248711712,278735.362846108,0.02831,848535,211.315904094331,1.27008123116498,1.60561747661356
"M_3_2_Into",264826.118764819,322938.535033909,0.02852,907421,263.632036761603,1.70998058824883,2.5346327126282
"M_1_3",516813.782546087,268259.803178449,88030,999998,442.984309369404,1.12054854546063,1.24916506355652
"M_2_3_Out",463726.064268662,278096.999013925,24677,954410,382.839965149567,1.05280773328797,1.11586607133845
"M_4_3",494966.130548131,277461.79136795,22443,964569,388.56758918836,1.16419650984344,1.33865977013502
"M_3_4",349786.367981013,327431.707450145,0.04964,901029,368.521010642102,1.71809882279732,2.47634372563361
"mL_1.000000",-1090.30227097133,0.502658296983917,-1091.730422,-1089.5504,204.540832747265,5.37738683019102,12.2713396306195
"mL_1.500000",-1182.4422992802,8.16761568871523,-1198.032474,-1171.665433,51.0776100156932,9.60814540900639,27.2570910947801
"mL_3.000000",-1255.63895649106,6.76389935756873,-1266.690278,-1244.966204,65.3193804063945,4.80773761373354,8.08500375821295
"mL_100000.000000",-1311.75010094812,8.30106678128296,-1326.243198,-1290.794019,15.5292503358247,5.28486050517518,9.56744294696849
"mL_thermo",-1213.02297696579,3.42113712797819,-1217.465354,-1207.096447,29.9907113519574,7.48025974507464,13.2372083183745
"mL_harmonic",-1124.89123529655,3.45432519105522,-1134.122524,-1119.847697,81.9116459611057,3.57135586062908,7.72192513336739
"Nm_3_1",2125.40250501043,4469.78747496477,0.0003833174,10528.99319,2309.92140851798,1.11749291321768,1.26030971470135
"Nm_3_2",2762.2618190934,5339.47450497502,0.0004113872,13239.81055,3775.96108931985,1.22820572081535,1.54152240799004
"Nm_1_3",5268.37058523944,6398.86384728147,0.046583614,17910.5056,8004.71420001983,1.02988299726998,1.05819590692735
"Nm_2_3",4749.93713595822,6116.57386934985,0.015380858808,16839.31412,5875.26268626343,1.01984170365261,1.03951674222276
"Nm_4_3",5070.39294652582,6323.05923183738,0.025250517,17622.492,7157.42088320665,1.03702516902085,1.07501135468583
"Nm_3_4",3429.9853534024,5427.352449158,0.000575824,14112.38775,4883.89315294628,1.13758230657797,1.30481713769661
